fuel_log_id,vehicle_reg,trip_id,liters,cost,date
FL-001,VAN-03,TRP-001,18.50,2590.00,2026-07-01
FL-002,TRK-02,TRP-002,45.00,7650.00,2026-07-02
FL-003,TRK-01,TRP-003,72.00,12240.00,2026-06-22
FL-004,VAN-01,TRP-004,38.00,5320.00,2026-06-17
FL-005,TRK-03,TRP-005,165.00,28050.00,2026-06-12
FL-006,VEH-04,TRP-008,55.00,7700.00,2026-06-26
FL-007,TRK-05,TRP-009,60.00,10200.00,2026-06-29
FL-008,VAN-01,TRP-011,20.00,2800.00,2026-06-05
FL-009,TRK-01,TRP-012,58.00,9860.00,2026-06-09
FL-010,VEH-01,TRP-013,18.00,2520.00,2026-06-12
FL-011,VAN-02,TRP-014,22.00,3080.00,2026-06-18
FL-012,TRK-03,TRP-015,120.00,20400.00,2026-06-23
FL-013,VAN-01,,25.00,3500.00,2026-07-04
FL-014,TRK-05,,40.00,6800.00,2026-07-05
FL-015,VAN-04,,15.00,2100.00,2026-07-06
