trip_id,source,destination,vehicle_reg,driver_id,cargo_weight_kg,planned_distance_km,actual_distance_km,fuel_consumed_liters,revenue,status,created_date,dispatched_date,completed_date
TRP-001,Mumbai,Pune,VAN-03,DRV-04,400.00,150.00,152.00,18.50,25000.00,Dispatched,2026-07-01,2026-07-01,
TRP-002,Delhi,Agra,TRK-02,DRV-10,3500.00,210.00,215.00,45.00,62000.00,Dispatched,2026-07-02,2026-07-02,
TRP-003,Bangalore,Chennai,TRK-01,DRV-06,4200.00,350.00,355.00,72.00,89000.00,Completed,2026-06-20,2026-06-20,2026-06-22
TRP-004,Hyderabad,Vijayawada,VAN-01,DRV-01,600.00,275.00,280.00,38.00,45000.00,Completed,2026-06-15,2026-06-15,2026-06-17
TRP-005,Mumbai,Nagpur,TRK-03,DRV-05,3800.00,820.00,825.00,165.00,120000.00,Completed,2026-06-10,2026-06-10,2026-06-12
TRP-006,Chennai,Coimbatore,VAN-02,DRV-08,700.00,500.00,,, 35000.00,Draft,2026-07-05,,
TRP-007,Kolkata,Bhubaneswar,VAN-04,DRV-09,500.00,445.00,,, 55000.00,Draft,2026-07-06,,
TRP-008,Jaipur,Jodhpur,VEH-04,DRV-01,350.00,320.00,325.00,55.00,42000.00,Completed,2026-06-25,2026-06-25,2026-06-26
TRP-009,Ahmedabad,Surat,TRK-05,DRV-06,4500.00,265.00,268.00,60.00,78000.00,Completed,2026-06-28,2026-06-28,2026-06-29
TRP-010,Lucknow,Varanasi,VEH-05,DRV-08,400.00,320.00,,, 48000.00,Cancelled,2026-07-03,,
TRP-011,Pune,Mumbai,VAN-01,DRV-05,500.00,150.00,153.00,20.00,22000.00,Completed,2026-06-05,2026-06-05,2026-06-05
TRP-012,Delhi,Chandigarh,TRK-01,DRV-09,5000.00,260.00,263.00,58.00,72000.00,Completed,2026-06-08,2026-06-08,2026-06-09
TRP-013,Bangalore,Mysore,VEH-01,DRV-05,300.00,145.00,148.00,18.00,32000.00,Completed,2026-06-12,2026-06-12,2026-06-12
TRP-014,Hyderabad,Warangal,VAN-02,DRV-06,650.00,145.00,147.00,22.00,28000.00,Completed,2026-06-18,2026-06-18,2026-06-18
TRP-015,Mumbai,Goa,TRK-03,DRV-08,4000.00,590.00,595.00,120.00,95000.00,Completed,2026-06-22,2026-06-22,2026-06-23
